ID,camera_id,location,vehicle_number,vehicle_color,vehicle_speed,violation,fine_amount,date_of_violation,time_of_violation,plate_confidence,status,uploader_role,hash_proof,remarks,image_name,detection_confidence,Email,payment_date,payment_time,email
0.0,CAM-74,"Outer Ring Road, Bengaluru",KA430AB5358,Green,79.0,Overspeeding,1500.0,08-04-2024,21:44:38,0.81,Approved,System,2b0b11163a375a38607151e833b3cce8,Auto-generated entry,Overspeeding.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
1.0,CAM-285,"Richmond Road, Bengaluru",KA543EF6175,Blue,98.0,Mobile While Driving,2000.0,07-06-2024,16:11:21,0.83,Rejected,System,69bd4f85836d282a249655acf6a01db3,Auto-generated entry,DrivingUsingMobile.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
2.0,CAM-511,"Mysore Road, Bengaluru",KA399AB3219,Silver,41.0,Triple Ride,1000.0,28-12-2024,22:04:38,0.96,Pending,System,69a218aeea8bc8f92489b5b2c64b014f,Auto-generated entry,TripleRide.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
3.0,CAM-316,"Church Street, Bengaluru",KA160EF9931,Black,23.0,No Parking,1000.0,22-08-2024,20:23:55,0.81,Approved,Traffic Officer,cbe700b393584ac6099a86b1b5fcc9ae,Auto-generated entry,NoParking.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
4.0,CAM-782,"MG Road, Bengaluru",KA152AB7293,Grey,58.0,"Signal Jump, No Helmet",1500.0,13-12-2024,03:18:47,0.91,Approved,Traffic Officer,234e2a20df06af9ff04568f36efe1859,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
5.0,CAM-569,"Outer Ring Road, Bengaluru",KA344GH9169,White,54.0,"Signal Jump, No Helmet",2000.0,05-04-2024,05:22:47,0.83,Rejected,System,9079f47bbd29e24f37bd51bbd6fb909c,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
6.0,CAM-461,"J.C. Road, Bengaluru",KA486EF1379,Red,27.0,Wrong Lane,500.0,22-03-2024,09:26:28,0.92,Pending,System,faa42d30d4e97cd479dd68d8cd4fa1ea,Auto-generated entry,BikeWrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
7.0,CAM-911,"Jayanagar, Bengaluru",KA313EF2755,Silver,61.0,Overloading,500.0,01-11-2024,18:29:37,0.89,Rejected,System,da1b3756cf3772214f1311f28a609646,Auto-generated entry,Overloading.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
8.0,CAM-556,"Church Street, Bengaluru",KA457EF8635,Grey,64.0,Overloading,500.0,12-09-2024,13:07:17,0.86,Rejected,Traffic Officer,7014cdced90225fa0b37112b924b7c29,Auto-generated entry,Overloading.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
9.0,CAM-464,"Seshadripuram, Bengaluru",KA116HS3345,Brown,81.0,Triple Ride,2000.0,09-12-2024,19:42:44,0.91,Approved,Traffic Officer,b1de48ccb691107b2edfa89372991a40,Auto-generated entry,TripleRide.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
10.0,CAM-599,"Outer Ring Road, Bengaluru",KA241GH7244,Red,81.0,Overloading,2000.0,10-07-2024,16:19:52,0.81,Rejected,System,a01a12b084377cfea961496d91fc6f30,Auto-generated entry,Overloading.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
11.0,CAM-285,"Seshadripuram, Bengaluru",KA392EF8862,White,50.0,No Parking,2000.0,16-02-2024,21:39:23,0.86,Rejected,System,3441e18701e698824efa0602344d445d,Auto-generated entry,NoParking.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
12.0,CAM-720,"MG Road, Bengaluru",KA382AB5497,Brown,95.0,"Signal Jump, No Helmet",1500.0,05-06-2024,09:57:37,0.93,Rejected,System,a640b722c3d5eab18c334bfb83a44333,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
13.0,CAM-291,"Outer Ring Road, Bengaluru",KA427AB2740,Blue,20.0,Signal Jump,1000.0,25-11-2024,15:28:08,0.86,Approved,Traffic Officer,99e5d3131395b8d41a3c8c70383e15c4,Auto-generated entry,SignalJump.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
14.0,CAM-844,"Richmond Road, Bengaluru",KA458AB4511,Red,45.0,Overloading,1500.0,23-06-2024,05:30:02,0.95,Pending,System,c9f18a0644540f0fbbfbfc7f1b8167d3,Auto-generated entry,Overloading.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
15.0,CAM-335,"Mysore Road, Bengaluru",KA250MT9554,Silver,118.0,Mobile While Driving,2000.0,23-08-2024,16:02:41,0.82,Pending,Traffic Officer,502cadc950cebdda3fc81fc9d9e1afcb,Auto-generated entry,DrivingUsingMobile.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
16.0,CAM-289,"Outer Ring Road, Bengaluru",KA199AB8774,Brown,105.0,Wrong Lane,2000.0,22-09-2024,18:59:35,0.84,Rejected,System,4d5e0edc0b3fda12da55ccc243b45dd9,Auto-generated entry,WrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
17.0,CAM-834,"Seshadripuram, Bengaluru",KA497MT7383,Red,73.0,Wrong Lane,1000.0,13-02-2024,12:14:43,0.88,Rejected,Traffic Officer,fd425e35264e55e07585b09f95e73e96,Auto-generated entry,WrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
18.0,CAM-813,"Outer Ring Road, Bengaluru",KA190MT3415,Black,70.0,Signal Jump,1500.0,14-02-2024,03:15:55,0.83,Pending,Traffic Officer,46a897dc89a49ee071fc2747150af11a,Auto-generated entry,SignalJump.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
19.0,CAM-995,"Seshadripuram, Bengaluru",KA546GH7827,Grey,106.0,Signal Jump,500.0,28-03-2024,16:58:41,0.8,Pending,Traffic Officer,256d87e2d75525fe48321abcbc09983c,Auto-generated entry,SignalJump.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
20.0,CAM-493,"Church Street, Bengaluru",KA114HS6447,Silver,112.0,"Signal Jump, No Helmet",2000.0,04-04-2024,05:41:30,0.96,Rejected,System,65d1442826b46b70d05540398c2d642b,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
21.0,CAM-349,"Mysore Road, Bengaluru",KA357MT4969,Brown,37.0,Wrong Lane,1000.0,12-09-2024,23:33:26,0.82,Approved,System,0dfc2815311920439178b81a5f4f4cce,Auto-generated entry,WrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
22.0,CAM-269,"Outer Ring Road, Bengaluru",KA239CD1709,White,20.0,Overspeeding,500.0,13-09-2024,13:40:24,0.81,Rejected,Traffic Officer,c74e1924eac524a04e641e69e8af8b61,Auto-generated entry,Overspeeding.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
23.0,CAM-686,"Jayanagar, Bengaluru",KA181AB5971,Grey,85.0,Triple Ride,1500.0,22-07-2024,20:24:36,0.97,Pending,System,6754146ff399c8b35de06392b333113f,Auto-generated entry,TripleRide.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
24.0,CAM-339,"Jayanagar, Bengaluru",KA537MT2422,Green,38.0,Wrong Lane,500.0,17-10-2024,13:10:38,0.8,Approved,System,649ef1cf3a3bb968b9173ec76d685617,Auto-generated entry,WrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
25.0,CAM-351,"Church Street, Bengaluru",KA590EF7508,Green,60.0,Overspeeding,500.0,12-11-2024,00:42:42,0.82,Pending,System,1f72f9fc651128655a51a279bb17c741,Auto-generated entry,Overspeeding.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
26.0,CAM-555,"Richmond Road, Bengaluru",KA513HS7077,Green,42.0,Signal Jump,1500.0,16-01-2024,03:03:02,0.85,Pending,System,7113f21d5611606a781bf9521e00d6f6,Auto-generated entry,SignalJump.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
27.0,CAM-681,"Seshadripuram, Bengaluru",KA362AB6677,Black,111.0,Wrong Lane,1000.0,25-06-2024,05:14:49,0.95,Pending,Traffic Officer,8d86cca1842017194cc589bbae826da6,Auto-generated entry,BikeWrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
28.0,CAM-506,"Richmond Road, Bengaluru",KA299AB5341,Green,43.0,Mobile While Driving,500.0,03-05-2024,04:29:42,0.93,Rejected,System,3ca26e83a1782f3916ef35b0f83c83f0,Auto-generated entry,DrivingUsingMobile.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
29.0,CAM-558,"Mysore Road, Bengaluru",KA368AB5600,Red,24.0,Overspeeding,1000.0,25-10-2024,08:35:29,0.96,Pending,Traffic Officer,0a1c5e93e7649a65251bb445608b7a16,Auto-generated entry,Overspeeding.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
30.0,CAM-642,"Richmond Road, Bengaluru",KA229GH3158,Grey,118.0,Wrong Lane,500.0,05-12-2024,22:27:04,0.84,Approved,System,11624791aa1d4318e2b159888e2a9faf,Auto-generated entry,BikeWrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
31.0,CAM-284,"Church Street, Bengaluru",KA495CD1787,Red,87.0,Signal Jump,1000.0,16-05-2024,04:24:04,0.91,Pending,System,85b82eeb9d82d138bf839032541a5b6a,Auto-generated entry,SignalJump.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
32.0,CAM-149,"MG Road, Bengaluru",KA232MT8323,White,49.0,Wrong Lane,1500.0,09-05-2024,22:37:41,0.88,Approved,System,b2e34fe0fd2a1b981b678d575969b4e6,Auto-generated entry,BikeWrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
33.0,CAM-712,"Mysore Road, Bengaluru",KA298EF3867,Black,75.0,Wrong Lane,500.0,25-08-2024,11:21:04,0.87,Rejected,System,2cd855c26c396ec6948fe520f62d6f64,Auto-generated entry,WrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
34.0,CAM-174,"Jayanagar, Bengaluru",KA242HS2679,Brown,101.0,Overloading,2000.0,19-09-2024,13:58:44,0.95,Rejected,Traffic Officer,8c2ce7acad1c22c4aa696ba71ce71ef7,Auto-generated entry,Overloading.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
35.0,CAM-183,"Seshadripuram, Bengaluru",KA450HS7099,White,117.0,Mobile While Driving,2000.0,06-11-2024,10:37:28,0.86,Pending,Traffic Officer,9b30623f824a2ecd93a409faa4207295,Auto-generated entry,DrivingUsingMobile.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
36.0,CAM-595,"MG Road, Bengaluru",KA547AB1816,Blue,51.0,Overloading,500.0,28-06-2024,12:33:43,0.93,Pending,System,a1c0616817408f31dedd45d4e59373bf,Auto-generated entry,Overloading.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
37.0,CAM-260,"Seshadripuram, Bengaluru",KA512HS5747,Grey,94.0,Wrong Lane,1000.0,09-12-2024,01:08:08,0.82,Approved,System,71a9e069c477a7021e7483e40e11f66c,Auto-generated entry,BikeWrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
38.0,CAM-127,"MG Road, Bengaluru",KA579CD6827,Blue,40.0,"Signal Jump, No Helmet",1500.0,25-06-2024,01:11:32,0.98,Rejected,Traffic Officer,a6654b1d0e38f839833764dc661757d3,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
39.0,CAM-803,"Church Street, Bengaluru",KA440EF5309,Blue,71.0,Overspeeding,1000.0,06-01-2024,11:33:21,0.88,Rejected,System,a53d0b6533bb5ee658fa73ec20becb29,Auto-generated entry,Overspeeding.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
40.0,CAM-101,"Mysore Road, Bengaluru",KA179HS2835,Black,73.0,Wrong Lane,500.0,05-01-2024,02:09:32,0.8,Pending,Traffic Officer,06a3248cd01ea738d7821e5541c37ca6,Auto-generated entry,BikeWrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
41.0,CAM-297,"Church Street, Bengaluru",KA546HS5779,Red,37.0,"Signal Jump, No Helmet",1500.0,12-03-2024,09:59:56,0.91,Pending,Traffic Officer,9813760e0fb91dd3a61deaeadb5aa5f8,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
42.0,CAM-194,"MG Road, Bengaluru",KA290EF3682,Brown,63.0,Overspeeding,500.0,15-11-2024,03:20:44,0.82,Pending,System,856cb43a2ffb3a14278086a770ebb9b3,Auto-generated entry,Overspeeding.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
43.0,CAM-562,"Richmond Road, Bengaluru",KA220MT3177,Blue,27.0,Overspeeding,500.0,25-03-2024,09:48:13,0.8,Pending,System,4cee03a80c03cef19e5b8ba0ad2fdb5d,Auto-generated entry,OverSpeeding2.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
44.0,CAM-463,"Mysore Road, Bengaluru",KA487CD5065,Grey,118.0,Wrong Lane,1000.0,15-11-2024,17:55:33,0.97,Pending,System,0899cc2636ed1840db938e01e40e3ebf,Auto-generated entry,WrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
45.0,CAM-403,"Jayanagar, Bengaluru",KA219CD9330,Green,51.0,"Signal Jump, No Helmet",500.0,06-12-2024,05:47:55,0.97,Rejected,System,64ab0c562126d882d7c8f788f487bbe2,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
46.0,CAM-267,"Mysore Road, Bengaluru",KA335CD5413,Black,105.0,Wrong Lane,1500.0,16-01-2024,05:04:10,0.81,Rejected,Traffic Officer,1386c119e611482614142b1db9e23d4d,Auto-generated entry,WrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
47.0,CAM-300,"Outer Ring Road, Bengaluru",KA243HS5758,Black,25.0,"Signal Jump, No Helmet",1500.0,12-09-2024,06:08:02,0.85,Approved,Traffic Officer,024993fa44ac006b18982fdfc71ba6e4,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
48.0,CAM-145,"MG Road, Bengaluru",KA474CD6747,Grey,36.0,Overspeeding,1000.0,19-09-2024,05:39:42,0.98,Rejected,System,e94e4bc14c957d98aa19bd7674d806e0,Auto-generated entry,OverSpeeding2.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
49.0,CAM-429,"Outer Ring Road, Bengaluru",KA121CD9537,Black,57.0,Wrong Lane,1000.0,14-04-2024,11:12:48,0.92,Rejected,Traffic Officer,7ada75902a61cddcce74e301aa1ffae0,Auto-generated entry,WrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
50.0,CAM-771,"Jayanagar, Bengaluru",KA316CD9034,Blue,75.0,Signal Jump,2000.0,08-02-2024,10:56:51,0.91,Rejected,Traffic Officer,21d8974b284e1ed0fcb79f08b58d266e,Auto-generated entry,SignalJump.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
51.0,CAM-330,"Jayanagar, Bengaluru",KA156CD5856,Grey,119.0,"Signal Jump, No Helmet",500.0,08-05-2024,17:04:49,0.86,Approved,System,6450b8fbbf914f41e0ef185afd1e957a,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
52.0,CAM-634,"Outer Ring Road, Bengaluru",KA439GH4885,Blue,42.0,Triple Ride,2000.0,09-06-2024,08:18:36,0.85,Rejected,System,227704ca445e4b996e6cd4c8acdf795c,Auto-generated entry,TripleRide.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
53.0,CAM-427,"Richmond Road, Bengaluru",KA434HS6763,Grey,37.0,Overloading,1000.0,28-09-2024,12:57:03,0.98,Rejected,System,b51674f6ce48ddb8ae79d603b6ede7b1,Auto-generated entry,Overloading.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
54.0,CAM-814,"Richmond Road, Bengaluru",KA471HS3801,Brown,60.0,"Signal Jump, No Helmet",500.0,05-01-2024,01:12:21,0.81,Rejected,Traffic Officer,7e1462fb098e655850d51e9971607650,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
55.0,CAM-126,"Church Street, Bengaluru",KA251AB1154,Red,100.0,Overloading,1000.0,27-07-2024,17:46:43,0.97,Rejected,Traffic Officer,a0e29b3db72a5f7a7b85c6a7621dd96d,Auto-generated entry,Overloading.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
56.0,CAM-287,"Seshadripuram, Bengaluru",KA354MT1085,Silver,94.0,"Signal Jump, No Helmet",1500.0,13-05-2024,03:19:18,0.85,Rejected,System,b34bf09654563001b45696ccd8c8548c,Auto-generated entry,SingleJumpandRidingWithoutHelmet.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
57.0,CAM-588,"Seshadripuram, Bengaluru",KA494GH1244,White,73.0,Triple Ride,500.0,23-05-2024,01:35:07,0.82,Pending,Traffic Officer,aa4891773ce461e97d0a29a903fb3101,Auto-generated entry,TripleRide.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
58.0,CAM-573,"Outer Ring Road, Bengaluru",KA248AB9925,Brown,89.0,Overloading,1500.0,17-09-2024,07:06:36,0.93,Rejected,Traffic Officer,ec1f5286964ab1203da4721e78d6f0fd,Auto-generated entry,Overloading.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
59.0,CAM-222,"Richmond Road, Bengaluru",KA578EF4126,Red,40.0,Mobile While Driving,1500.0,17-04-2024,05:56:01,0.86,Approved,System,eac032423579e6ecae610865a8f27779,Auto-generated entry,DrivingUsingMobile.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
60.0,CAM-191,"Church Street, Bengaluru",KA210HS3719,Grey,81.0,Overloading,500.0,07-03-2024,18:39:55,0.8,Rejected,Traffic Officer,dc2ce15bb8b6199ee0fbc13c301ff977,Auto-generated entry,Overloading.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
61.0,CAM-586,"Mysore Road, Bengaluru",KA263EF3935,Green,66.0,Signal Jump,2000.0,21-03-2024,22:28:32,0.88,Pending,Traffic Officer,007734c0af0f94293d541f58377a18b7,Auto-generated entry,SignalJump.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
62.0,CAM-217,"Jayanagar, Bengaluru",KA577MT4589,Brown,99.0,Triple Ride,1000.0,20-12-2024,12:40:13,0.85,Rejected,Traffic Officer,e82668d99f30802db6a2afcf5787d2f4,Auto-generated entry,TripleRide.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
63.0,CAM-151,"Richmond Road, Bengaluru",KA587MT5454,Blue,86.0,Mobile While Driving,1500.0,25-09-2024,10:11:39,0.95,Rejected,System,5339d7e44d264180429399a23e71c218,Auto-generated entry,DrivingUsingMobile.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
64.0,CAM-923,"Richmond Road, Bengaluru",KA122EF1438,Silver,62.0,Wrong Lane,1000.0,25-07-2024,03:12:10,0.83,Approved,Traffic Officer,a119aae762739467848e7de3b8d358c9,Auto-generated entry,BikeWrongLane.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
65.0,CAM-885,"Mysore Road, Bengaluru",KA391CD4794,Red,70.0,No Parking,2000.0,09-07-2024,22:35:54,0.85,Rejected,Traffic Officer,edb7831510d970ee6bd83ce13915f6c2,Auto-generated entry,NoParking.png,0.0,iampallavivasanth77@gmail.com,2025-12-06,00:00:15,iampallavivasanth77@gmail.com
